country,gdp_inhab
0,Qatar,100889
1,Luxembourg,77958
2,Singapore,60799
3,Norway,54397
4,Brunei,54114
5,United States,51704
6,Hong Kong,50936
7,Switzerland,44864
8,San Marino[4],42724
9,Canada,42317
10,Australia,41954
11,Austria,41908
12,Netherlands,41527
13,Ireland,40716
14,Sweden,40304
15,Kuwait,39874
16,Iceland,39718
17,Germany,38666
18,Taiwan,38400
19,Belgium,37459
20,Denmark,37324
21,United Kingdom,36569
22,Japan,35855
23,Finland,35771
24,France,35295
25,Israel,33878
26,South Korea,31951
27,Bahamas The,31324
28,Saudi Arabia,30477
29,Spain,30058
30,Italy,29812
31,New Zealand,29481
32,United Arab Emirates,29176
33,Oman,28843
34,Bahrain,28691
35,Slovenia,27837
36,Czech Republic,27000
37,Malta,26857
38,Cyprus,26794
39,Equatorial Guinea,26487
40,Barbados,25043
41,Seychelles,24989
42,Greece,24260
43,Slovakia,24142
44,Palau,23053
45,Portugal,23047
46,Estonia,21714
47,Lithuania,21383
48,Poland,20562
49,East Timor,20113
50,Trinidad and Tobago,19826
51,Hungary,19497
52,Chile,18211
53,Latvia,18058
54,Gabon,18051
55,Argentina,17917
56,Antigua and Barbuda,17833
57,Croatia,17618
58,Russia,17518
59,Malaysia,16794
60,Saint Kitts and Nevis,16066
61,Uruguay,15865
62,Botswana,15706
63,Lebanon,15587
64,Belarus,15479
65,Panama,15449
66,Mauritius,15424
67,Mexico,15363
68,Turkey,14812
69,Bulgaria,14103
70,Dominica,13994
71,Grenada,13549
72,Kazakhstan,13526
73,Venezuela,13480
74,Saint Lucia,13000
75,Iran,12986
76,Romania,12722
77,Costa Rica,12545
78,Suriname,12299
79,Libya,11936
80,Saint Vincent and the Grenadines,11768
81,Brazil,11747
82,Montenegro,11610
83,South Africa,11281
84,Serbia,10722
85,Colombia,10671
86,Peru,10596
87,Macedonia,10465
88,Azerbaijan,10365
89,Ecuador,10215
90,Tunisia,9650
91,Dominican Republic,9547
92,Thailand,9503
93,China,9055
94,Jamaica,8916
95,Maldives,8856
96,Belize,8659
97,Turkmenistan,8641
98,Marshall Islands,8590
99,Bosnia and Herzegovina,8127
100,Albania,7997
101,Tonga,7987
102,Guyana,7965
103,Namibia,7800
104,Kosovo[4],7506
105,El Salvador,7316
106,Ukraine,7295
107,Algeria,7268
108,Micronesia Fed. Sts.,7123
109,Iraq,7004
110,Bhutan,6564
111,Egypt,6474
112,Kiribati,6241
113,Samoa,6157
114,Angola,6092
115,Paraguay,6053
116,Sri Lanka,6046
117,Jordan,5977
118,Armenia,5924
119,Georgia,5842
120,Swaziland,5719
121,Mongolia,5314
122,Morocco,5193
123,Guatemala,5153
124,Bolivia,5041
125,Indonesia,4923
126,Vanuatu,4843
127,Honduras,4744
128,Fiji,4740
129,Congo Rep.,4616
130,Philippines,4380
131,Cape Verde,4368
132,Nicaragua,4352
133,India,3843
134,Vietnam,3788
135,Uzbekistan,3523
136,Tuvalu,3443
137,Moldova,3378
138,Ghana,3316
139,Solomon Islands,3288
140,Pakistan,3056
141,Laos,2847
142,Papua New Guinea,2736
143,Nigeria,2697
144,Djibouti,2648
145,Sudan,2549
146,Chad,2474
147,Cambodia,2395
148,Kyrgyzstan,2351
149,Cameroon,2338
150,Yemen,2251
151,Tajikistan,2205
152,Lesotho,2126
153,São Tomé and Príncipe,2121
154,Mauritania,2096
155,Senegal,2005
156,Bangladesh,1963
157,Gambia The,1868
158,Kenya,1781
159,Côte d'Ivoire,1707
160,Zambia,1683
161,Tanzania,1627
162,Burma,1612
163,Benin,1556
164,Nepal,1457
165,Rwanda,1441
166,Uganda,1424
167,Burkina Faso,1415
168,Sierra Leone,1295
169,Ethiopia,1256
170,Comoros,1251
171,Haiti,1229
172,Guinea-Bissau,1210
173,Mozambique,1155
174,South Sudan,1120
175,Guinea,1109
176,Togo,1093
177,Mali,1088
178,Afghanistan,1055
179,Madagascar,945
180,Central African Republic,851
181,Malawi,848
182,Niger,807
183,Eritrea,710
184,Liberia,665
185,Burundi,619
186,Zimbabwe,552
187,Congo Dem. Rep.,365
